,Unnamed: 0,number,contract_name,name,address,position,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,Unnamed: 0.1,distance,datetime,date,time,lat,lng
1044,63.0,69.0,dublin,GRAND CANAL DOCK,Grand Canal Dock,"{'lat': 53.342638, 'lng': -6.238695}",FALSE,FALSE,40,22,17,OPEN,1619165420000,63.0,,,,,,
1045,64.0,25.0,dublin,MERRION SQUARE EAST,Merrion Square East,"{'lat': 53.339434, 'lng': -6.246548}",FALSE,FALSE,30,16,14,OPEN,1619165463000,64.0,,,,,,
1046,65.0,51.0,dublin,YORK STREET WEST,York Street West,"{'lat': 53.339334, 'lng': -6.264699}",FALSE,FALSE,40,35,5,OPEN,1619165543000,65.0,,,,,,
1047,66.0,37.0,dublin,ST. STEPHEN'S GREEN SOUTH,St. Stephen's Green South,"{'lat': 53.337494, 'lng': -6.26199}",FALSE,FALSE,30,13,17,OPEN,1619165245000,66.0,,,,,,
1048,67.0,59.0,dublin,DENMARK STREET GREAT,Denmark Street Great,"{'lat': 53.35561, 'lng': -6.261397}",FALSE,FALSE,20,7,11,OPEN,1619165021000,67.0,,,,,,
1049,68.0,95.0,dublin,ROYAL HOSPITAL,Royal Hospital,"{'lat': 53.343897, 'lng': -6.29706}",FALSE,FALSE,40,20,19,OPEN,1619165513000,68.0,,,,,,
1050,69.0,94.0,dublin,HEUSTON STATION (CAR PARK),Heuston Station (Car Park),"{'lat': 53.346985, 'lng': -6.297804}",FALSE,FALSE,40,35,5,OPEN,1619165169000,69.0,,,,,,
1051,70.0,105.0,dublin,GRANGEGORMAN LOWER (NORTH),Grangegorman Lower (North),"{'lat': 53.355954, 'lng': -6.278378}",FALSE,FALSE,36,26,10,OPEN,1619165215000,70.0,,,,,,
1052,71.0,36.0,dublin,ST. STEPHEN'S GREEN EAST,St. Stephen's Green East,"{'lat': 53.337824, 'lng': -6.256035}",FALSE,FALSE,40,26,14,OPEN,1619165014000,71.0,,,,,,
1053,72.0,93.0,dublin,HEUSTON STATION (CENTRAL),Heuston Station (Central),"{'lat': 53.346603, 'lng': -6.296924}",FALSE,FALSE,40,34,6,OPEN,1619165214000,72.0,,,,,,
1054,73.0,22.0,dublin,TOWNSEND STREET,Townsend Street,"{'lat': 53.345922, 'lng': -6.254614}",FALSE,FALSE,20,0,20,OPEN,1619165184000,73.0,,,,,,
1055,74.0,50.0,dublin,GEORGES LANE,George's Lane,"{'lat': 53.35023, 'lng': -6.279696}",FALSE,FALSE,40,15,22,OPEN,1619165164000,74.0,,,,,,
